"Chalan No",Date,"Start Date","Customer Name",Location,"Number Of Item",Type
250828003076,"28 Aug 2025","01 Sep 2025","SAGE INNOVATION SERVICES PRIVATE LIMITED","SAGE INNOVATION",1,Sale
250828003075,"28 Aug 2025","01 Sep 2025","SAGE INNOVATION SERVICES PRIVATE LIMITED"," 306-C, Abhay Khand - 3, Indirapuram,Ghaziabad,Uttar Pradesh 201014",1,Sale
250821002956,"21 Aug 2025","24 Aug 2025","SAGE INNOVATION SERVICES PRIVATE LIMITED","SAGE INNOVATION",1,Sale
250821002955,"21 Aug 2025","24 Aug 2025","SAGE INNOVATION SERVICES PRIVATE LIMITED","SAGE INNOVATION-DELHI",1,Sale
250807002726,"07 Aug 2025","11 Aug 2025","SAGE INNOVATION SERVICES PRIVATE LIMITED","SAGE INNOVATION",1,Sale
250801002598,"01 Aug 2025","04 Aug 2025","SAGE INNOVATION SERVICES PRIVATE LIMITED","SAGE INNOVATION",1,Sale
250730002547,"30 Jul 2025","04 Aug 2025","SAGE INNOVATION SERVICES PRIVATE LIMITED","SAGE INNOVATION",1,Sale
250730002546,"30 Jul 2025","04 Aug 2025","SAGE INNOVATION SERVICES PRIVATE LIMITED","SAGE INNOVATION",1,Sale
250719002361,"19 Jul 2025","21 Jul 2025","SAGE INNOVATION SERVICES PRIVATE LIMITED","SAGE INNOVATION",1,Sale
250710002218,"10 Jul 2025","14 Jul 2025","SAGE INNOVATION SERVICES PRIVATE LIMITED","SAGE INNOVATION",1,Sale
250626002004,"26 Jun 2025","29 Jun 2025","SAGE INNOVATION SERVICES PRIVATE LIMITED","SAGE INNOVATION",1,Sale
250626002003,"26 Jun 2025","29 Jun 2025","SAGE INNOVATION SERVICES PRIVATE LIMITED","SAGE INNOVATION",1,Sale
250620001915,"20 Jun 2025","25 Jun 2025","SAGE INNOVATION SERVICES PRIVATE LIMITED","SAGE INNOVATION",1,Sale
250616001866,"16 Jun 2025","19 Jun 2025","SAGE INNOVATION SERVICES PRIVATE LIMITED","SAGE INNOVATION SERVICES PRIVATE LIMITED-GUJARAT",1,Sale
250519000667,"19 May 2025","23 May 2025","SAGE INNOVATION SERVICES PRIVATE LIMITED","SAGE INNOVATION-DELHI",1,Sale
250503000442,"03 May 2025","03 May 2025","SAGE INNOVATION SERVICES PRIVATE LIMITED","SAGE INNOVATION SERVICES PRIVATE LIMITED-GUJARAT",1,Sale
250503000441,"03 May 2025","03 May 2025","SAGE INNOVATION SERVICES PRIVATE LIMITED","SAGE INNOVATION-DELHI",1,Sale
250415000220,"15 Apr 2025","18 Apr 2025","SAGE INNOVATION SERVICES PRIVATE LIMITED","SAGE INNOVATION",1,Sale
250322000329,"22 Mar 2025","22 Mar 2025","SAGE INNOVATION SERVICES PRIVATE LIMITED","SAGE INNOVATION",1,Sale
250315000189,"15 Mar 2025","15 Mar 2025","SAGE INNOVATION SERVICES PRIVATE LIMITED"," 306-C, Abhay Khand - 3, Indirapuram,Ghaziabad,Uttar Pradesh 201014",1,Sale
241224002919,"24 Dec 2024","01 Jan 2025","SAGE INNOVATION SERVICES PRIVATE LIMITED","SAGE INNOVATION",1,Sale
241224002918,"24 Dec 2024","01 Jan 2025","SAGE INNOVATION SERVICES PRIVATE LIMITED","SAGE INNOVATION",1,Sale
241221002893,"21 Dec 2024","01 Jan 2025","SAGE INNOVATION SERVICES PRIVATE LIMITED"," 306-C, Abhay Khand - 3, Indirapuram,Ghaziabad,Uttar Pradesh 201014",1,Sale
241221002892,"21 Dec 2024","01 Jan 2025","SAGE INNOVATION SERVICES PRIVATE LIMITED"," 306-C, Abhay Khand - 3, Indirapuram,Ghaziabad,Uttar Pradesh 201014",1,Sale
241221002891,"21 Dec 2024","01 Jan 2025","SAGE INNOVATION SERVICES PRIVATE LIMITED"," 306-C, Abhay Khand - 3, Indirapuram,Ghaziabad,Uttar Pradesh 201014",1,Sale
241221002890,"21 Dec 2024","01 Jan 2025","SAGE INNOVATION SERVICES PRIVATE LIMITED"," 306-C, Abhay Khand - 3, Indirapuram,Ghaziabad,Uttar Pradesh 201014",1,Sale
241221002889,"21 Dec 2024","01 Jan 2025","SAGE INNOVATION SERVICES PRIVATE LIMITED"," 306-C, Abhay Khand - 3, Indirapuram,Ghaziabad,Uttar Pradesh 201014",1,Sale
241221002888,"21 Dec 2024","01 Jan 2025","SAGE INNOVATION SERVICES PRIVATE LIMITED"," 306-C, Abhay Khand - 3, Indirapuram,Ghaziabad,Uttar Pradesh 201014",1,Sale
241221002887,"21 Dec 2024","01 Jan 2025","SAGE INNOVATION SERVICES PRIVATE LIMITED"," 306-C, Abhay Khand - 3, Indirapuram,Ghaziabad,Uttar Pradesh 201014",1,Sale
